NAME,median_income_owner,median_income_renter,median_rent,zip_code,ideal_rent,affordability_delta
ZCTA5 04076,82829,81518,1230,04076,2037.95,807.95
ZCTA5 04079,95793,60121,1323,04079,1503.02,180.02
ZCTA5 04083,96607,46000,1117,04083,1150.0,33.0
ZCTA5 04084,102891,40731,1267,04084,1018.28,-248.73
ZCTA5 04086,85670,45950,1174,04086,1148.75,-25.25
ZCTA5 04087,91684,45536,1295,04087,1138.4,-156.6
ZCTA5 04090,86938,42006,1180,04090,1050.15,-129.85
ZCTA5 04092,100175,47204,1302,04092,1180.1,-121.9
ZCTA5 04093,97156,55012,1372,04093,1375.3,3.3
ZCTA5 04095,58207,29297,975,04095,732.42,-242.58
ZCTA5 04096,125951,56912,1583,04096,1422.8,-160.2
ZCTA5 04097,138134,74837,1487,04097,1870.92,383.92
ZCTA5 04101,123950,46319,1348,04101,1157.97,-190.03
ZCTA5 04102,112931,57093,1363,04102,1427.32,64.33
ZCTA5 04103,110208,47832,1446,04103,1195.8,-250.2
ZCTA5 04105,176094,67844,1973,04105,1696.1,-276.9
ZCTA5 04106,101094,59471,1601,04106,1486.78,-114.22
ZCTA5 04107,150479,92750,2238,04107,2318.75,80.75
ZCTA5 04108,94750,39500,1543,04108,987.5,-555.5
ZCTA5 04110,182273,54510,1707,04110,1362.75,-344.25
ZCTA5 04210,87988,37542,926,04210,938.55,12.55
ZCTA5 04216,43625,18750,775,04216,468.75,-306.25
ZCTA5 04217,46140,36458,764,04217,911.45,147.45
ZCTA5 04219,58958,52813,1056,04219,1320.32,264.32
ZCTA5 04220,86336,69444,1099,04220,1736.1,637.1
ZCTA5 04221,71563,19167,459,04221,479.17,20.17
ZCTA5 04222,92783,47014,1051,04222,1175.35,124.35
ZCTA5 04224,66173,25313,589,04224,632.82,43.82
ZCTA5 04231,48250,15625,1125,04231,390.62,-734.38
ZCTA5 04236,100375,76493,1059,04236,1912.32,853.32
ZCTA5 04239,77055,57304,707,04239,1432.6,725.6
ZCTA5 04240,82985,33284,903,04240,832.1,-70.9
ZCTA5 04250,82862,48566,908,04250,1214.15,306.15
ZCTA5 04252,85096,35293,952,04252,882.32,-69.67
ZCTA5 04254,49531,31875,813,04254,796.88,-16.12
ZCTA5 04255,81458,26436,1313,04255,660.9,-652.1
ZCTA5 04256,69648,48789,1110,04256,1219.72,109.72
ZCTA5 04257,53032,24177,765,04257,604.42,-160.58
ZCTA5 04258,93649,48102,850,04258,1202.55,352.55
ZCTA5 04259,107745,21617,978,04259,540.42,-437.58
ZCTA5 04260,103155,61782,1158,04260,1544.55,386.55
ZCTA5 04261,-666666666,53333,875,04261,1333.32,458.33
ZCTA5 04263,82898,41250,936,04263,1031.25,95.25
ZCTA5 04265,40429,44034,1137,04265,1100.85,-36.15
ZCTA5 04268,70651,24298,766,04268,607.45,-158.55
ZCTA5 04270,76789,35139,1083,04270,878.48,-204.52
ZCTA5 04274,120789,50048,1073,04274,1251.2,178.2
ZCTA5 04276,56157,26940,566,04276,673.5,107.5
ZCTA5 04281,66455,21639,877,04281,540.98,-336.02
ZCTA5 04282,93873,37220,1015,04282,930.5,-84.5
ZCTA5 04285,62813,31250,621,04285,781.25,160.25
ZCTA5 04290,72589,54375,671,04290,1359.38,688.38
ZCTA5 04294,62386,21335,553,04294,533.38,-19.62
ZCTA5 04330,65721,32247,884,04330,806.18,-77.83
ZCTA5 04342,74875,47000,1136,04342,1175.0,39.0
ZCTA5 04344,75266,46266,730,04344,1156.65,426.65
ZCTA5 04345,82462,31708,922,04345,792.7,-129.3
ZCTA5 04346,54671,37292,870,04346,932.3,62.3
ZCTA5 04347,64946,44702,835,04347,1117.55,282.55
ZCTA5 04348,71992,52083,943,04348,1302.08,359.08
ZCTA5 04349,62422,33990,958,04349,849.75,-108.25
ZCTA5 04350,72885,52750,1041,04350,1318.75,277.75
ZCTA5 04351,95847,44444,918,04351,1111.1,193.1
ZCTA5 04352,78333,36622,868,04352,915.55,47.55
ZCTA5 04355,102526,81078,1173,04355,2026.95,853.95
ZCTA5 04357,68578,41250,890,04357,1031.25,141.25
ZCTA5 04358,96875,54444,979,04358,1361.1,382.1
ZCTA5 04359,117045,36339,743,04359,908.48,165.48
ZCTA5 04360,71053,71167,533,04360,1779.18,1246.18
ZCTA5 04363,66406,48750,1071,04363,1218.75,147.75
ZCTA5 04364,87188,41103,1002,04364,1027.58,25.58
ZCTA5 04401,92898,36761,951,04401,919.02,-31.98
ZCTA5 04406,65000,43233,1011,04406,1080.82,69.83
ZCTA5 04410,81944,13958,680,04410,348.95,-331.05
ZCTA5 04412,77824,32782,970,04412,819.55,-150.45
ZCTA5 04414,60417,30000,841,04414,750.0,-91.0
ZCTA5 04415,36875,40577,833,04415,1014.42,181.42
ZCTA5 04416,62716,23766,844,04416,594.15,-249.85
ZCTA5 04418,57064,35833,725,04418,895.82,170.83
ZCTA5 04419,95550,58250,1132,04419,1456.25,324.25
ZCTA5 04421,79118,63889,992,04421,1597.22,605.22
ZCTA5 04422,74896,42083,558,04422,1052.07,494.07
ZCTA5 04424,45786,29219,540,04424,730.47,190.47
ZCTA5 04426,60000,30104,836,04426,752.6,-83.4
ZCTA5 04427,57692,54194,727,04427,1354.85,627.85
ZCTA5 04428,76136,41838,1102,04428,1045.95,-56.05
ZCTA5 04430,56406,15750,613,04430,393.75,-219.25
ZCTA5 04434,77955,28750,945,04434,718.75,-226.25
ZCTA5 04435,70179,38750,879,04435,968.75,89.75
ZCTA5 04438,82584,31591,741,04438,789.78,48.77
